Dataset,Adaboost,kNN,Logistic Regression,Multinomial NB,Random Forest,SVM,Transformer,Mean,Complexity Class
DFG,0.4095556830871008,0.1773024432782227,0.4903259007774504,0.4253243540145816,0.4232406853888043,0.4781584379485203,0.5475034728950121,0.42163013962709883,1
DFG_and_AT,0.9994280753132988,0.4835890518520131,0.9998093456758744,0.9895023565265187,0.9982835291353918,0.9998093456758744,1.0,0.9243459577398531,4
DFG_and_ATIS_Int,0.9977903084725468,0.4487638143427652,1.0,0.9969066184467664,0.9997790143150213,0.9995580334832584,1.0,0.9203996841514798,4
DT,0.7545999159192824,0.5508567027628611,0.7851607382096906,0.7757433920704846,0.7763151453575634,0.75875670333864,0.8309333661694343,0.7474808519754224,3
DT_and_AT,0.9983854628339875,0.5577928643547905,0.9989907078229364,0.967896265974775,0.9673255951586782,0.998385242765294,0.999394424693762,0.9268815090863176,4
DT_and_ATIS_Int,0.9958533295633434,0.5058153875343895,0.999308886243355,0.9947010337609477,0.9974658839498924,0.9965442815701226,0.999769630068132,0.9270654903843119,4
ENR,0.5050228848974417,0.4659318637274549,0.5061787852348414,0.5412752535786275,0.4657534246575342,0.5082744825897048,0.5060497539639147,0.4997837783785028,1
GPR,0.2935195460512066,0.1958429509981344,0.3616702007231422,0.3257991896658412,0.2008071563686711,0.346711384945573,0.466285347296934,0.31294796800707175,1
HS,0.6428161796903844,0.3238806878974242,0.7033266000463052,0.5650051660028795,0.5738502706102537,0.6877470941158615,0.7602868533359187,0.6081304073855753,2
LMRC,0.7609969025198566,0.4424444500683303,0.8254999563749891,0.8030281426967372,0.7942737308126875,0.8082994459853988,0.8706466947964586,0.757884189036351,3
LMRC_and_AT,0.9998911428609416,0.18853192152135,0.9997823112170308,0.9939160993010432,0.9985868416869426,0.9998911428609416,0.9998911428609416,0.8829272289013131,4
LMRC_and_ATIS_Int,0.9992927031641442,0.1503237020987765,0.9997170294297762,0.998869360247966,0.9998584887841576,0.9991517098600062,1.0,0.8781732847978324,4
LMRC_and_RS_and_SST,0.7226974740316559,0.3368821231714207,0.8729246257783904,0.6693054640620968,0.7082929635496075,0.8600136628445983,0.9025896482329024,0.7246722802386675,3
LMRC_and_RS_and_YTS,0.8603629560628318,0.0937239597164236,0.9296429945758838,0.7408699506825694,0.906931242086921,0.9041562025119102,0.9651957621761782,0.7715547239732453,3
LRR,0.3538612466819013,0.154529476778592,0.4485320495678743,0.4187236445150317,0.2354697729883,0.4611990248604837,0.5538593780121058,0.3751677990577555,1
NYR_10,0.2389172541573492,0.2538163569094024,0.3996559557467257,0.3723572697238768,0.3210256953051998,0.4058457426857493,0.5389986289287474,0.36151670049386436,1
