Dataset,Class,Adaboost,Random Forest,kNN,SVM,Multinomial NB,Logistic Regression,Transformer,Mean,Complexity Class
ATIS_Int,atis_flight_no,0.8571428571428571,0.0,0.0,0.9333333333333332,0.5833333333333334,0.0,1.0,0.4819727891156463,2
ATIS_Int,atis_flight_time,0.0,1.0,0.0,1.0,0.4,1.0,1.0,0.6285714285714287,3
ATIS_Int,atis_ground_fare,0.7272727272727273,0.7272727272727273,0.25,0.8333333333333333,0.7058823529411764,0.8333333333333333,0.923076923076923,0.7143101996043173,3
ATIS_Int,atis_ground_service,0.911764705882353,0.9863013698630138,0.918918918918919,0.9863013698630138,0.9428571428571428,0.9863013698630138,1.0,0.9617778396067794,4
ATIS_Int,atis_ground_service#atis_ground_fare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int,atis_meal,0.0,0.0,0.6,0.7692307692307692,0.7142857142857143,0.5,0.923076923076923,0.5009419152276295,2
ATIS_Int,atis_quantity,0.4615384615384615,0.6,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.38541458541458534,2
ATIS_Int,atis_restriction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATIS_Int_and_CM,ATIS_Int,0.9984021912805296,0.9986301369863014,0.8917431192660551,0.997036699338956,0.9997714285714284,0.9988581868006394,1.0,0.9834916803205586,4
ATIS_Int_and_CM,CM,0.9942100909842844,0.9950413223140496,0.2248175182481751,0.9891936824605154,0.9991769547325102,0.9958711808422792,1.0,0.8854729642259735,4
ATIS_Int_and_ClassicLit,ATIS_Int,0.9988276670574444,0.9997655334114888,0.3273983115886416,0.9967243799719232,0.9937106918238994,0.99906191369606,1.0,0.9022126425070655,4
ATIS_Int_and_ClassicLit,ClassicLit,0.9997846034549606,0.999956920690992,0.3934108527131783,0.9993966557490088,0.9988354539573,0.999827690186956,1.0,0.9130303109646281,4
AT_and_ATIS_Int,AT,0.9991500934897162,0.9989795918367348,0.8882597206493016,0.9989795918367348,0.9948857824752813,0.9996600951733514,1.0,0.9828449822087314,4
AT_and_ATIS_Int,ATIS_Int,0.9988412514484356,0.998610467809171,0.8791836734693877,0.998610467809171,0.9930747922437674,0.9995363931386184,1.0,0.9811224351312217,4
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,AT,0.9952071208490242,0.9893944577488882,0.6606676342525399,0.9982935153583616,0.8906468124709166,0.99829293274155,0.9996587030716724,0.9331658823561362,4
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,CM,0.4575163398692811,0.7890625000000001,0.2496453900709219,0.943744752308984,0.8362863217576187,0.9465648854961832,0.9642857142857144,0.7410151291126719,3
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,DFG,0.9770960285774322,0.993744787322769,0.33713298791019,0.9949895615866388,0.943656262667207,0.9947775224566536,0.9995841995841996,0.8915687643007272,4
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,DT,0.2934984520123839,0.637546468401487,0.3179565383149066,0.8772511848341232,0.8210678210678212,0.9106463878326996,0.9511861313868614,0.6870218548357547,3
